IP,端口,速度(MB/s),延迟(ms),国家地区,数据中心(CF机房),宽带属性,所属ASN,网络服务商(ISP),寻迹雷达状态
179.255.113.68,443,11.86,497,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.253.228.163,443,11.79,535.75,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.255.148.115,443,11.78,489.91,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.253.225.66,443,11.77,576.74,巴西 巴西 Curitiba,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.253.245.31,443,11.75,555.25,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.253.228.39,443,11.73,494.94,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
154.17.229.156,443,11.69,510.14,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.255.117.31,443,11.69,521.95,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.255.116.155,443,11.68,552.29,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.255.152.223,443,11.68,507.61,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
69.63.202.21,443,11.67,514.16,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.255.157.96,443,11.63,534.13,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
154.21.87.49,443,11.6,505.76,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.255.124.251,443,11.59,535.03,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.255.144.157,443,11.59,533.98,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.255.116.11,443,11.55,579.34,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.255.120.75,443,11.55,499.62,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
69.63.202.51,443,11.53,502.02,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
